reporting_period,project_id,project_county,project_city,project_zip,electric_utility,project_completion_date,total_project_cost,pre_retrofit_home_heating_fuel_type,size_of_home,number_of_units,job_type,type_of_dwelling,measure_type,estimated_annual_kwh_savings,estimated_annual_mmbtu_savings,first_year_modeled_project_energy_savings_estimate,location_1,:@computed_region_yamh_8v7k,:@computed_region_wbg7_3whc,:@computed_region_kjdx_g34t,year_home_built,gas_utility
2021-01-30T00:00:00.000,330957,Cayuga,Auburn,13021,New York State Electric & Gas,2018-04-06T00:00:00.000,1521,Natural Gas,Report SF less than 800,1,Home Performance,Single Family,Building Shell,388,12,147,"{'latitude': '42.92408', 'longitude': '-76.558936', 'human_address': '{""address"": """", ""city"": ""Auburn"", ""state"": ""NY"", ""zip"": ""13021""}'}",87,343,618,1951,New York State Electric & Gas
2021-01-30T00:00:00.000,338547,Kings,Brooklyn,11213,Consolidated Edison,2018-01-26T00:00:00.000,485,Natural Gas,800,1,Electric Reduction,Single Family,Building Shell,510,2,113,"{'latitude': '40.671145', 'longitude': '-73.936641', 'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",894,891,2090,,National Grid
2021-01-30T00:00:00.000,411611,Livingston,Nunda,14517,Rochester Gas & Electric,2019-05-23T00:00:00.000,4594,Natural Gas,Report SF less than 800,1,Home Performance,Mobile,Building Shell,343,18,208,"{'latitude': '42.589458', 'longitude': '-77.897084', 'human_address': '{""address"": """", ""city"": ""Nunda"", ""state"": ""NY"", ""zip"": ""14517""}'}",738,327,2091,1988,New York State Electric & Gas
2021-01-30T00:00:00.000,378265,Monroe,Rochester,14608,Rochester Gas & Electric,2018-12-14T00:00:00.000,4780,Natural Gas,"1,100",1,Home Performance,Single Family,Building Shell,510,27,325,"{'latitude': '43.153628', 'longitude': '-77.623581', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14608""}'}",537,1666,2093,1941,Rochester Gas & Electric
2021-01-30T00:00:00.000,346421,Monroe,Rochester,14609,Rochester Gas & Electric,2018-05-01T00:00:00.000,1993,Natural Gas,"1,100",1,Home Performance,Single Family,Building Shell,510,11,166,"{'latitude': '43.175867', 'longitude': '-77.559147', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14609""}'}",537,1667,2093,1941,Rochester Gas & Electric
2021-01-30T00:00:00.000,365251,Oneida,Vernon Center,13477,National Grid,2018-08-16T00:00:00.000,5281,Kerosene,840,1,Home Performance,Mobile,Building Shell,410,20,432,"{'latitude': '43.037384', 'longitude': '-75.510534', 'human_address': '{""address"": """", ""city"": ""Vernon Center"", ""state"": ""NY"", ""zip"": ""13477""}'}",983,1384,625,1983,
2021-01-30T00:00:00.000,320075,Erie,Buffalo,14221,National Grid,2018-09-20T00:00:00.000,6434,Natural Gas,"1,400",1,Home Performance,Single Family,Building Shell,1079,36,500,"{'latitude': '42.980424', 'longitude': '-78.728009', 'human_address': '{""address"": """", ""city"": ""Buffalo"", ""state"": ""NY"", ""zip"": ""14221""}'}",304,110,2041,,National Fuel Gas Distribution
2021-01-30T00:00:00.000,353725,Monroe,Rochester,14616,Rochester Gas & Electric,2018-06-08T00:00:00.000,4659,Natural Gas,"1,295",1,Home Performance,Single Family,Building Shell,1915,10,312,"{'latitude': '43.233155', 'longitude': '-77.655373', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14616""}'}",548,1675,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,407998,Oneida,Utica,13501,National Grid,2019-06-13T00:00:00.000,5295,Natural Gas,"1,620",1,Home Performance,Single Family,Building Shell,0,24,195,"{'latitude': '43.085324', 'longitude': '-75.228495', 'human_address': '{""address"": """", ""city"": ""Utica"", ""state"": ""NY"", ""zip"": ""13501""}'}",984,1464,625,,National Grid
2021-01-30T00:00:00.000,353546,Erie,Buffalo,14207,National Grid,2018-09-20T00:00:00.000,7691,Natural Gas,"1,550",1,Home Performance,Single Family,Building Shell,945,76,858,"{'latitude': '42.948761', 'longitude': '-78.898159', 'human_address': '{""address"": """", ""city"": ""Buffalo"", ""state"": ""NY"", ""zip"": ""14207""}'}",300,63,2041,,National Fuel Gas Distribution
